 Investigation Type , Accident Number , Event Date , Location , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Publication Date 
 Accident , DFW05CA090 ,3/19/2005," Nachogdoches, TX ",31.577778,-94.709444, OCH , A L Mangham Jr. Regional , Non-Fatal , Substantial , Airplane , N12CT , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , CRUISE ,6/8/2005
 Accident , ATL05CA064 ,3/19/2005," Eastman, GA ",32.213889,-83.127778,  ,  , Non-Fatal , Substantial , Airplane , N32033 , Piper , PA28-151 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , CLIMB ,6/8/2005
 Accident , ANC05CA050 ,3/19/2005," False Pass, AK ",54.838333,-163.866667,  ,  , Non-Fatal , Substantial , Airplane , N3996Z , Piper , PA-18 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,1, VMC , TAKEOFF ,6/8/2005
 Accident , DFW05CA098 ,3/18/2005," Crosbyton, TX ",33.620278,-101.245833, 8F3 , Dummy , Non-Fatal , Substantial , Airplane , N9017Z , Air Tractor , AT-602 ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , TAKEOFF ,7/25/2007
 Accident , DFW05CA093 ,3/18/2005," Spring, TX ",30.061667,-95.553333, DWH , Daviid Wayne Hooks , Non-Fatal , Substantial , Airplane , N91505 , Cessna , 172M ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,2,, VMC , APPROACH ,6/8/2005
 Accident , DFW05CA091 ,3/18/2005," Rio Grande City, TX ",26.4075,-98.845833, NONE , Private Airstrip , Non-Fatal , Substantial , Airplane , N6372D , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,6/8/2005
 Accident , ATL05CA063 ,3/18/2005," Charlotte, NC ",35.213889,-80.943055,  ,  , Non-Fatal , Substantial , Airplane , N7148M , Cessna , 175 ,1, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,,,1,, VMC , DESCENT ,7/7/2005
 Accident , DEN05CA062 ,3/15/2005," Farmington, NM ",36.738055,-108.224445, FMN , Four Corners Regional Airport , Non-Fatal , Substantial , Airplane , N435P , Beech , A36 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , TAKEOFF ,6/8/2005
 Accident , SEA05CA059 ,3/13/2005," Manzanita, OR ",54.695833,-123.931389, 3S7 , Nehalem Bay Airport , Non-Fatal , Substantial , Airplane , N4076D , Cessna , 182A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , APPROACH ,7/7/2005
 Accident , MIA05CA078 ,3/13/2005," Orange Springs, FL ",29.484722,-82.021945, FD02 , 85TH AVENUE AIRSTRIP , Non-Fatal , Substantial , Airplane , N5341D , Cessna , 180A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,6/8/2005
 Accident , SEA05CA062 ,3/12/2005," Gooding, ID ",42.917223,-114.765278, GNG , Gooding Municipal , Non-Fatal , Substantial , Airplane , N5953A , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAXI ,6/8/2005
 Accident , DFW05CA087 ,3/12/2005," Lancaster, TX ",32.568056,-96.718056,  ,  , Non-Fatal , Substantial , Airplane , N6211Z , Cessna , TU206G ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , APPROACH ,6/8/2005
 Accident , ATL05CA062 ,3/12/2005," Redstone Arsnl, AL ",34.671945,-86.692222, KHUA , Redstone AAF , Non-Fatal , Destroyed , Airplane , N5456K , Cessna , 172P ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , LANDING ,6/8/2005
 Accident , LAX05CA111 ,3/11/2005," Emigrant Gap, CA ",39.274723,-120.709722, KBLU , Blue Canyon - Nyack Airport , Non-Fatal , Substantial , Airplane , N4682G , Cessna , 172A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,6/8/2005
 Accident , DFW05CA095 ,3/11/2005," Marvell, AR ",34.512222,-90.978334, NONE , (Pvt) Gibbons Flying Service , Non-Fatal , Substantial , Airplane , N8422V , Ayres , S-2R ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , LANDING ,7/7/2005
 Accident , DFW05CA084 ,3/10/2005," Gilbert, LA ",32.014167,-91.663889,  ,  , Non-Fatal , Substantial , Airplane , N5327 , Grumman , G-164A ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , LANDING ,1/22/2014
 Accident , ANC05CA047 ,3/7/2005," South Naknek, AK ",58.727223,-156.940833, 3AK , South Naknek , Non-Fatal , Substantial , Airplane , N7871X , Cessna , 172B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAXI ,7/7/2005
 Accident , MIA05CA072 ,3/6/2005," Opa Locka, FL ",25.911667,-80.278334, OPF , Opa Locka , Non-Fatal , Substantial , Airplane , N21427 , Piper , PA-44-180 ,2, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,6/8/2005
 Accident , ATL05CA058 ,3/6/2005," Suches, GA ",34.698333,-84.013333, GA87 , High Valley Airpark (private) , Non-Fatal , Substantial , Airplane , N7209J , Piper , PA-28-140 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,6/28/2006
 Accident , ATL05CA057 ,3/6/2005," Lexington, NC ",35.781667,-80.416945, 48NC , Morrison Field (private) , Non-Fatal , Substantial , Airplane , N45524 , Luscombe , 8A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,6/8/2005
 Accident , SEA05CA055 ,3/5/2005," Waldport, OR ",44.385,-124.085, R33 , Wakonda Beach State , Non-Fatal , Substantial , Airplane , N8100L , Cessna , 172H ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,2,2, VMC , TAKEOFF ,6/8/2005
 Accident , MIA05CA067 ,3/3/2005," Jacksonville, FL ",30.277778,-81.805833, HEG , Herlong Airport , Non-Fatal , Substantial , Airplane , N4980R , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,6/8/2005
 Accident , ATL05CA056 ,3/3/2005," Eagleville, TN ",35.713611,-86.589166, KSYI , Bomar Field - Shelbyville Muni , Non-Fatal , Destroyed , Airplane , N4024B , Bellanca , 17-30A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , CRUISE ,6/8/2005
 Accident , NYC05FA054 ,3/2/2005," Newark, NJ ",40.698611,-74.17, EWR , Newark International Airport , Non-Fatal , Substantial , Airplane , N78008 , Boeing , 777-200 ,2, Turbo Fan , Part 121: Air Carrier , SCHD ,  , CONTINENTAL AIRLINES INC ,,,,214, VMC , TAKEOFF ,5/3/2012
 Accident , MIA05CA068 ,3/2/2005," Bartow, FL ",27.943333,-81.783333, BOW , Bartow Municipal Airport , Non-Fatal , Substantial , Airplane , N54550 , Cessna , 305A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,6/8/2005
 Accident , MIA05CA065 ,3/2/2005," Madison, MS ",32.434166,-90.105, KMBO , Bruce Campbell Field Airport , Non-Fatal , Substantial , Airplane , N212CF , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,4/28/2005
 Accident , DFW05CA079 ,3/2/2005," Dumas, AR ",33.925,-91.511111,  ,  , Non-Fatal , Substantial , Airplane , N1518Z , Air Tractor , AT-402 ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , MANEUVERING ,4/28/2005
 Accident , ANC05CA040 ,3/2/2005," Panama City, FL ",30.2,-85.666667,  ,  , Non-Fatal , Substantial , Airplane , N5006V , Air Tractor , AT-602 ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , TAKEOFF ,7/7/2005
 Accident , LAX05CA104 ,2/27/2005," Williams, AZ ",35.302222,-112.193889, P32 , H. A. Clark Memorial Field , Non-Fatal , Substantial , Airplane , N8339P , Piper , PA-32-301 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , STANDING ,6/8/2005
 Accident , CHI05CA075 ,2/26/2005," Portage, WI ",43.560278,-89.482778, C47 , Portage Municipal Airport , Non-Fatal , Substantial , Airplane , N7325G , Cessna , 172K ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,1,1,, VMC , LANDING ,6/8/2005
 Accident , CHI05CA074 ,2/26/2005," Fargo, ND ",46.920556,-96.815833,  ,  , Non-Fatal , Substantial , Airplane , N1623H , Cessna , 177RG ,1, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,,2,,, VMC , TAKEOFF ,6/8/2005
 Accident , DFW05CA094 ,2/25/2005," Tuckerman, AR ",35.6375,-91.176111,  ,  , Non-Fatal , Substantial , Airplane , N8501H , Grumman , G-164A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , CRUISE ,6/8/2005
 Accident , MIA05CA061 ,2/21/2005," Brooksville, FL ",28.467223,-82.455556, BKV , Hernando County Airport , Non-Fatal , Substantial , Airplane , N98636 , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , LANDING ,4/28/2005
 Accident , ATL05CA054 ,2/18/2005," Holly Ridge, NC ",34.496111,-77.533056, 01NC , Top Soil Airpark , Non-Fatal , Substantial , Airplane , N1476A , Piper , PA-22 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,6/8/2005
 Accident , SEA05CA050 ,2/17/2005," Kalispell, MT ",48.281667,-114.223611, NONE , Private Strip , Non-Fatal , Substantial , Airplane , N22HU , Aviat , Husky A-1 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,4/28/2005
 Accident , LAX05CA098 ,2/16/2005," Chandler, AZ ",33.269167,-111.811111, CHD , Chandler Municipal , Non-Fatal , Substantial , Airplane , N80565 , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,6/8/2005
 Accident , LAX05CA096 ,2/14/2005," Grass Valley, CA ",39.113611,-121.056389, 09CL , Alta Sierra Skypark , Non-Fatal , Substantial , Airplane , N4725E , Aeronca , 7EC ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,6/8/2005
 Accident , DFW05CA068 ,2/13/2005," Angleton, TX ",29.316667,-95.75,  ,  , Non-Fatal , Substantial , Airplane , N6717S , Beech , BE77 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , CRUISE ,4/28/2005
 Accident , LAX05CA093 ,2/10/2005," Roosevelt, AZ ",33.639444,-111.056667, 51AZ , Grapevine Airport , Non-Fatal , Substantial , Airplane , N973EL , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,6/8/2005
 Accident , CHI05CA072 ,2/10/2005," Indianapolis, IN ",39.830834,-86.294444, EYE , Eagle Creek Airpark , Non-Fatal , Substantial , Airplane , N840JK , Gulfstream American , 690C ,2, Turbo Prop , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,4/28/2005
 Accident , CHI05CA068 ,2/9/2005," Larimore, ND ",47.906944,-97.640555,  ,  , Non-Fatal , Substantial , Airplane , N66ND , Piper , PA-18-150 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,4/28/2005
 Accident , IAD05CA037 ,2/7/2005," Cross Keys, NJ ",39.705278,-75.032778, 17N , Cross Keys Airport , Non-Fatal , Substantial , Airplane , N54812 , Cessna , 172P ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,4/28/2005
 Accident , NYC05CA050 ,2/5/2005," Kelleys Island, OH ",41.602778,-82.684444, 89D , Kelleys Island , Non-Fatal , Substantial , Airplane , N4649M , Cessna , 152 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,4/28/2005
 Accident , SEA05CA045 ,2/4/2005," Redmond, OR ",44.274167,-121.108056,  ,  , Non-Fatal , Substantial , Airplane , N3127S , Cessna , 182G ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , CRUISE ,4/28/2005
 Accident , SEA05CA043 ,2/3/2005," Idaho Falls, ID ",43.514444,-112.070278, IDA , Idaho Falls Regional , Non-Fatal , Substantial , Airplane , N5204K , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,4/28/2005
 Accident , LAX05CA082 ,2/2/2005," Coalinga, CA ",36.247777,-120.2375, 3O8 , Harris Ranch Airport , Non-Fatal , Substantial , Airplane , N521JD , Cessna , 172S ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,4/28/2005
 Accident , DCA05MA031 ,2/2/2005," Teterboro, NJ ",,, KTEB , Teterboro NJ , Non-Fatal , Substantial , Airplane , N370V , Bombardier , CL-600-1A11 ,2, Turbo Fan , Part 135: Air Taxi & Commuter , NSCH ,  , Platinum Jet Managment ,0,4,9,0, VMC , TAKEOFF ,2/4/2009
 Accident , CHI05CA060 ,2/1/2005," Berrien Springs, MI ",41.951667,-86.367778,  ,  , Non-Fatal , Substantial , Airplane , N9515B , Cessna , 172RG ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,3/30/2005
 Accident , MIA05CA064 ,1/31/2005," Ocala, FL ",29.1725,-82.224167, OCF , Ocala International Airport , Non-Fatal , Substantial , Airplane , N9572U , Grumman American , AA-5A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,6/8/2005
 Accident , LAX05CA081 ,1/30/2005," Reno, NV ",39.4825,-119.768056, RNO , Reno/Tahoe Intl. Airport , Non-Fatal , Substantial , Airplane , N9003M , Cessna , 182P ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,4, VMC , LANDING ,4/28/2005
 Accident , DFW05CA062 ,1/28/2005," Crosbyton, TX ",33.623889,-101.240833, 8F3 , Crosbyton Municipal , Non-Fatal , Substantial , Airplane , N3138L , Cessna , 310-J ,2, Reciprocating , Part 91: General Aviation ,  , Business ,  ,,,,1, VMC , LANDING ,3/30/2005
 Accident , CHI05CA058 ,1/26/2005," Willmar, MN ",45.115556,-95.088889, ILL , Willmar Muni-John L Rice Field , Non-Fatal , Substantial , Airplane , N8205U , Cessna , 172F ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,3/30/2005
 Accident , MIA05CA054 ,1/25/2005," Punta Gorda, FL ",26.920278,-81.990555, KPGD , Charlotte County Airport , Non-Fatal , Substantial , Airplane , N182CR , Cessna , 182S ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,3/30/2005
 Accident , DFW05CA076 ,1/24/2005," Marshall, TX ",32.520278,-94.307778, ASL , Harrison County Airport , Non-Fatal , Substantial , Airplane , N8134B , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , STANDING ,7/25/2007
 Accident , DFW05CA061 ,1/24/2005," McAlister, OK ",34.882223,-95.783333, MLC , McAlister Regional Airport , Non-Fatal , Substantial , Airplane , N9866M , Maule , M-4-210C ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , CRUISE ,4/28/2005
 Accident , ANC05CA024 ,1/22/2005," Big Lake, AK ",61.538055,-149.8,  ,  , Non-Fatal , Substantial , Airplane , N5417H , Piper , PA-19 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAXI ,6/8/2005
 Accident , DFW05CA077 ,1/21/2005," Graham, TX ",33.11,-98.555278, RPH , Graham Municipal AIrport , Non-Fatal , Substantial , Airplane , N832TC , Cessna , 182 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , GO-AROUND ,6/8/2005
 Accident , DFW05CA060 ,1/21/2005," San Antonio, TX ",29.533611,-98.469723, SAT , San Antonio International , Non-Fatal , Substantial , Airplane , XB-JGI , Sabreliner Corp. , 40 ,2, Turbo Jet , Part 91: General Aviation ,  , Executive/Corporate ,  ,,,,2, VMC , TAXI ,4/28/2005
 Accident , DFW05CA057 ,1/19/2005," Malvern, AR ",34.333056,-92.761389,  ,  , Non-Fatal , Substantial , Airplane , N2855F , Cessna , 182J ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,3/30/2005
 Accident , DEN05CA050 ,1/19/2005," Logan, UT ",41.788333,-111.853333, LGU , Logan-Cache Airport , Non-Fatal , Substantial , Airplane , N74RQ , Grumman , G-1159 ,2, Turbo Jet , Part 91: General Aviation ,  , Business ,  ,,,,9, IMC , LANDING ,3/30/2005
 Accident , CHI05CA057 ,1/19/2005," Muncie, IN ",40.242222,-85.395833,  ,  , Non-Fatal , Substantial , Airplane , N421HG , Cessna , 421C ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, IMC , LANDING ,4/28/2005
 Accident , ATL05CA045 ,1/17/2005," Nashville, TN ",36.116667,-86.666667, KBNA , Nashville International , Non-Fatal , Substantial , Airplane , N24218 , Cessna , 152 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,1,1, VMC , APPROACH ,4/28/2005
 Accident , DFW05FA055 ,1/14/2005," Patterson, LA ",29.7,-91.333333, PTN , Harry P Williams Municipal Air , Fatal(1) , Substantial , Airplane , N7912R , BEECH , 95-B55 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,,,, VMC , TAKEOFF ,3/24/2010
 Accident , CHI05CA054 ,1/13/2005," Stockton, MO ",37.660278,-93.816945, MO3 , Stockton Municipal Airport , Non-Fatal , Substantial , Airplane , N714UV , Cessna , 152 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,6/28/2006
 Accident , CHI05CA052 ,1/12/2005," Cumberland, WI ",45.509722,-91.980556, UBE , Cumberland Municipal , Non-Fatal , Substantial , Airplane , N427KP , Piper , PA-32R-300 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,1, IMC , CLIMB ,3/30/2005
 Accident , SEA05CA033 ,1/10/2005," Billings, MT ",45.808611,-108.530834, BIL , Billings Logan Intl Airport , Non-Fatal , Substantial , Airplane , N8609X , Cessna , 180 ,1, Reciprocating , Part 91: General Aviation ,  , Business ,  ,,,,1, VMC , LANDING ,3/30/2005
 Accident , CHI05CA051 ,1/9/2005," Harbor Springs, MI ",45.425556,-84.913333, MGN , Harbor Springs Airport , Non-Fatal , Substantial , Airplane , N194JA , Cessna , 414A ,2, Reciprocating , Part 91: General Aviation ,  , Business ,  ,,,,5, VMC , TAKEOFF ,3/30/2005
 Accident , LAX05CA067 ,1/8/2005," Tucson, AZ ",32.141944,-111.174445, RYN , Ryan Field Airport , Non-Fatal , Substantial , Airplane , N8351W , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,4/28/2005
 Accident , LAX05CA066 ,1/7/2005," Tucson, AZ ",38.025556,-111.174445, RYN , Ryan Field Airport , Non-Fatal , Substantial , Airplane , N151MM , Piper , PA-28-151 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,4/28/2005
 Accident , ATL05CA040 ,1/6/2005," Soperton, GA ",32.329445,-82.635, 3GA8 , Cauley's Airstrip (private) , Non-Fatal , Substantial , Airplane , N8566E , Champion , 7FC ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,3/30/2005
 Accident , MIA05CA048 ,1/4/2005," Clewiston, FL ",26.747777,-81.049444, K2IS ," Clewiston, Airglades ", Non-Fatal , Substantial , Airplane , N365SP , Cessna , 172SP ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,3/30/2005
 Accident , SEA05CA035 ,1/3/2005," Davenport, WA ",47.653611,-118.168611, 68S , Davenport Municipal , Non-Fatal , Substantial , Airplane , N310RA , Cessna , 310J ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,3/30/2005
 Accident , LAX05CA059 ,1/3/2005," Thermal, CA ",33.626667,-116.159722, TRM , Jacqueline Cochran Regional , Non-Fatal , Substantial , Airplane , N441CX , Cessna , 441 ,2, Turbo Prop , Part 91: General Aviation ,  , Personal ,  ,,,,5, IMC , LANDING ,4/28/2005
 Accident , NYC05CA037 ,12/29/2004," Johnstown, NY ",42.998055,-74.329445, NYO , Fulton County , Non-Fatal , Substantial , Airplane , N300WE , Piper , PA-32RT-300 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,4, VMC , APPROACH ,3/30/2005
 Accident , DFW05CA046 ,12/29/2004," Houston, TX ",30.058889,-95.552778, DWH , David Wayne Hooks Memorial , Non-Fatal , Substantial , Airplane , N118FR , Cessna , 172P ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,2/24/2005
 Accident , DEN05FA045 ,12/29/2004," Gallup, NM ",35.475,-108.747222, GUP , GALLUP MUNICIPAL , Fatal(1) , Destroyed , Airplane , N573B , Piper , PA-31P ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,,,, VMC , CRUISE ,10/27/2015
 Accident , ATL05CA036 ,12/29/2004," Talladega, AL ",33.571945,-86.051389,  ,  , Non-Fatal , Substantial , Airplane , N9588S , Champion , 7-GCAA ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,3/30/2005
 Accident , ANC05CA019 ,12/24/2004," Illiamna, AK ",59.753889,-154.911111, ILI , Illiamna , Non-Fatal , Substantial , Airplane , N9909Z , Cessna , U206G ,1, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,,,,1, VMC , TAXI ,3/30/2005
 Accident , SEA05CA030 ,12/23/2004," Wenatchee, WA ",47.383333,-120.211389, EAT , Pangborn Memorial , Non-Fatal , Substantial , Airplane , N28525 , Fairchild , 24W-41A ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,6/9/2010
 Accident , SEA05CA029 ,12/22/2004," Everett, WA ",47.906944,-122.273056, PAE , Paine Field , Non-Fatal , Substantial , Airplane , N7858B , Beech , 58TC ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,3/30/2005
 Accident , NYC05CA031 ,12/22/2004," Waynesboro, VA ",38.076945,-78.944166, W13 , Eagle's Nest Airport , Non-Fatal , Substantial , Airplane , D-MAFL , Flight Design , CT-2K ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,2/24/2005
 Accident , NYC05CA035 ,12/18/2004," Cleveland, OH ",41.566667,-81.488333, CGF , Cuyahoga County Airport , Non-Fatal , Substantial , Airplane , N417CW , Raytheon Corporate Jets , 400A ,2, Turbo Fan , Part 91: General Aviation ,  , Positioning ,  ,,,1,2, VMC , STANDING ,2/24/2005
 Accident , IAD05CA025 ,12/18/2004," Wheeling, WV ",40.171667,-80.641111,  ,  , Non-Fatal , Substantial , Airplane , N60CF ," Smith, Ted Aerostar ", 601P ,2, Reciprocating , Unknown , NSCH ,  ,  ,,,1,, VMC , LANDING ,5/30/2006
 Accident , ANC05CA017 ,12/16/2004," Nunapitchuk, AK ",60.905833,-162.439166, 16A , Nunapitchuk , Non-Fatal , Substantial , Airplane , N496K , Cessna , U206G ,1, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,,,,1, VMC , TAXI ,3/30/2005
 Accident , LAX05CA052 ,12/13/2004," Santa Barbara, CA ",34.426111,-119.840277, SBA , Santa Barbara Municipal , Non-Fatal , Substantial , Airplane , N95JD , Classic Aircraft Corp. , Waco YMF ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,2/24/2005
 Accident , CHI05CA043 ,12/10/2004," Williston, ND ",48.178334,-103.643333,  ,  , Non-Fatal , Substantial , Airplane , N6563N , Bellanca , 14-19 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,2/24/2005
 Accident , LAX05CA047 ,12/8/2004," Kapolei, HI ",21.307222,-158.070278, HJR , Kalaeloa Airport , Non-Fatal , Substantial , Airplane , N140ND , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,2/24/2005
 Accident , LAX05CA044 ,12/7/2004," Amado, AZ ",31.7,-111.05, NONE , Amado airstrip , Non-Fatal , Substantial , Airplane , N60469 , Cessna , 150J ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,1, VMC , APPROACH ,2/24/2005
 Accident , DEN05FA032 ,12/7/2004," Montgomery, TX ",30.509722,-95.648611,  ,  , Fatal(2) , Destroyed , Airplane , N141SW , Beech , A45 ,1, Reciprocating , Part 91: General Aviation ,  , Business ,  ,2,,,, VMC , MANEUVERING ,10/27/2015
 Accident , MIA05CA041 ,12/4/2004," Holly Springs, MS ",34.804444,-89.521111, M41 , Holly Springs-Marshall-County , Non-Fatal , Substantial , Airplane , N3570J , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , GO-AROUND ,1/24/2005
 Accident , LAX05CA043 ,12/4/2004," Santa Monica, CA ",34.015833,-118.451389, SMO , Santa Monica Municipal , Non-Fatal , Substantial , Airplane , N253FD , Piper , PA-28-181 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,2/24/2005
 Accident , CHI05CA041 ,12/4/2004," Atlantic, IA ",41.407222,-95.046944,  ,  , Non-Fatal , Substantial , Airplane , N7803Y , Piper , PA-30 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , CRUISE ,2/24/2005
 Accident , CHI05CA040 ,12/3/2004," Belle Fourche, SD ",44.734166,-103.861944, EFC , Belle Fourche Municipal Airpor , Non-Fatal , Substantial , Airplane , N21213 , Cessna , 182P ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,3,1, VMC , LANDING ,2/24/2005
 Accident , CHI05CA039 ,12/1/2004," Lee's Summit, MO ",38.959722,-94.371667,  ,  , Non-Fatal , Substantial , Airplane , N3575X , Piper , PA-28-181 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , APPROACH ,2/24/2005
 Accident , IAD05CA019 ,11/29/2004," Cleveland, OH ",41.411667,-81.849722, CLE , Cleveland-Hopkins Int. , Non-Fatal , Substantial , Airplane , N995CW , Embraer , EMB-135BJ ,2, Turbo Fan , Part 91: General Aviation ,  , Positioning ,  ,,,,6, VMC , TAXI ,2/24/2005
