 Investigation Type , Accident Number , Event Date , Location , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Publication Date 
 Accident , DFW06CA035 ,11/23/2005," New Braunfels, TX ",29.704444,-98.042222, BAZ , New Braunfels Municipal , Non-Fatal , Substantial , Airplane , N2564X , Cessna , P206 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,2/28/2006
 Accident , DFW06CA033 ,11/23/2005," Bixby, OK ",36.043611,-95.985277, RVS , RICHARD LLOYD JONES JR , Non-Fatal , Substantial , Airplane , N859DA , Piper , PA-23-250 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , CRUISE ,2/28/2006
 Accident , CHI06CA040 ,11/22/2005," Marshall, MO ",39.095833,-93.202778,  ,  , Non-Fatal , Substantial , Airplane , N3619R , Piper , PA-28-180 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , DESCENT ,2/28/2006
 Accident , DFW06CA032 ,11/21/2005," Anahuac, TX ",29.768611,-94.657222, T00 , Chambers County Airport , Non-Fatal , Substantial , Airplane , N15145 , Piper , PA-34-200 ,2, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,2/28/2006
 Accident , ANC06CA010 ,11/20/2005," Anchorage, AK ",61.213611,-149.844444,  ,  , Non-Fatal , Substantial , Airplane , N91399 , Cessna , 180H ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,2/28/2006
 Accident , LAX06CA042 ,11/19/2005," Show Low, AZ ",34.265278,-110.005556, SOW , Show Low Regional Airport , Non-Fatal , Substantial , Airplane , N4562F , Cessna , A185E ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , LANDING ,2/28/2006
 Accident , MIA06CA021 ,11/18/2005," Kissimmee, FL ",28.289722,-81.437222, KISM , Kissimmee Gateway Airport , Non-Fatal , Substantial , Airplane , N5182Z , Cessna , 172R ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,2/28/2006
 Accident , LAX06CA040 ,11/18/2005," Palo Alto, CA ",37.461111,-122.115, PAO , Palo Alto , Non-Fatal , Substantial , Airplane , N6122A , Cessna , P210R ,1, Reciprocating , Part 91: General Aviation ,  , Business ,  ,,,,4, VMC , LANDING ,3/28/2006
 Accident , ATL06CA017 ,11/18/2005," Woodstock, GA ",34.359722,-84.916667,  ,  , Non-Fatal , Substantial , Airplane , N57N , Cessna , 120 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,2/28/2006
 Accident , LAX06CA038 ,11/17/2005," Bakersfield, CA ",35.433611,-119.056944, BFL , Meadows Field , Non-Fatal , Substantial , Airplane , N2863X , Piper , PA-28RT-201 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , APPROACH ,3/28/2006
