date,type,registration,operator,fat.,location,Column1,pic,cat
2/1/2008,Hawker Siddeley HS-125-F400A,N400FR,Romair,0,Fort Lauderd...,,,A1
2/2/2008,Boeing 747-2D7B,N527MC,Atlas Air,0,Lome Airport...,,,A1
2/2/2008,BN-2A-26 Islander,VP-AAG,"Trans Anguilla Airways, op.for Air Montserrat",0,Anguilla-Wal...,,,A1
2/13/2008,BAe 3103 Jetstream 31,YV186T,SASCA Airlines,0,Los Roques A...,,,A1
2/14/2008,Canadair CRJ-100ER,EW-101PJ,Belavia,0,Yerevan-Zvar...,,,A1
2/14/2008,Ilyushin Il-76TD,UN-76020,Asia Continental Airlines,0,Kandahar Air...,,,A1
2/18/2008,Ilyushin Il-76TD,RA-76366,Volga-Dnepr,0,Ras Al Khaim...,,,A1
2/19/2008,ATR 72-212,XY-AIE,Air Bagan,0,Putao Airpor...,,,A1
2/22/2008,Beech 1900D,N305PC,Peabody Coal Company,0,Kayenta-Peab...,,,A1
3/6/2008,Transall C-160NG,PK-VTQ,Manunggal Air,0,Wamena Airpo...,,,A1
3/10/2008,Boeing 737-408,PK-KKT,AdamAir,0,Batam-Hang N...,,,A1
